Datum,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Richtwert,Höchstwert
2023-01-06,"Seewasserwerk Moos, Reinwasser",W0115/03,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-06,"Seewasserwerk Moos, Reinwasser",W0115/04,Temperatur,Allgemeine Parameter,°C,,8.8,,
2023-01-06,"Seewasserwerk Moos, Reinwasser",W0115/04,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,,300
2023-01-06,"Seewasserwerk Moos, Reinwasser",W0115/04,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-06,"Seewasserwerk Moos, Reinwasser",W0115/04,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-06,"Seewasserwerk Lengg, Reinwasser",W0215/03,Temperatur,Allgemeine Parameter,°C,,7.5,,
2023-01-06,"Seewasserwerk Lengg, Reinwasser",W0215/03,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,,300
2023-01-06,"Seewasserwerk Lengg, Reinwasser",W0215/03,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-06,"Seewasserwerk Lengg, Reinwasser",W0215/03,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-06,"Seewasserwerk Lengg, Reinwasser",W0215/04,Temperatur,Allgemeine Parameter,°C,,7.5,,
2023-01-06,"Seewasserwerk Lengg, Reinwasser",W0215/04,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,,300
2023-01-06,"Seewasserwerk Lengg, Reinwasser",W0215/04,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-06,"Seewasserwerk Lengg, Reinwasser",W0215/04,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-06,"Grundwasserwerk Hardhof, Reinwasser",W0305,Temperatur,Allgemeine Parameter,°C,,15.1,,
2023-01-06,"Grundwasserwerk Hardhof, Reinwasser",W0305,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,,300
2023-01-06,"Grundwasserwerk Hardhof, Reinwasser",W0305,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-06,"Grundwasserwerk Hardhof, Reinwasser",W0305,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-09,"Seewasserwerk Moos, Reinwasser",W0115/03,Temperatur,Allgemeine Parameter,°C,,8.9,,
2023-01-09,"Seewasserwerk Moos, Reinwasser",W0115/03,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,NA,,300
2023-01-09,"Seewasserwerk Moos, Reinwasser",W0115/03,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-09,"Seewasserwerk Moos, Reinwasser",W0115/03,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-09,"Seewasserwerk Moos, Reinwasser",W0115/04,Temperatur,Allgemeine Parameter,°C,,8.9,,
2023-01-09,"Seewasserwerk Moos, Reinwasser",W0115/04,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,NA,,300
2023-01-09,"Seewasserwerk Moos, Reinwasser",W0115/04,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-09,"Seewasserwerk Moos, Reinwasser",W0115/04,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-09,"Seewasserwerk Lengg, Reinwasser",W0215/03,Temperatur,Allgemeine Parameter,°C,,7.7,,
2023-01-09,"Seewasserwerk Lengg, Reinwasser",W0215/03,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,1,,300
2023-01-09,"Seewasserwerk Lengg, Reinwasser",W0215/03,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-09,"Seewasserwerk Lengg, Reinwasser",W0215/03,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-09,"Seewasserwerk Lengg, Reinwasser",W0215/04,Temperatur,Allgemeine Parameter,°C,,7.7,,
2023-01-09,"Seewasserwerk Lengg, Reinwasser",W0215/04,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,NA,,300
2023-01-09,"Seewasserwerk Lengg, Reinwasser",W0215/04,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-09,"Seewasserwerk Lengg, Reinwasser",W0215/04,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-09,"Grundwasserwerk Hardhof, Reinwasser",W0305,Temperatur,Allgemeine Parameter,°C,,14.9,,
2023-01-09,"Grundwasserwerk Hardhof, Reinwasser",W0305,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,1,,300
2023-01-09,"Grundwasserwerk Hardhof, Reinwasser",W0305,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-09,"Grundwasserwerk Hardhof, Reinwasser",W0305,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/01,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,NA,,300
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/01,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/01,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/01,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,55317,,
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/02,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,,300
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/02,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/02,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/02,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,9839,,
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/03,Temperatur,Allgemeine Parameter,°C,,8.8,,
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/03,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,,300
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/03,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,NA,,
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/03,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/03,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/03,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,52333,,
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/04,Temperatur,Allgemeine Parameter,°C,,8.8,,
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/04,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,,300
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/04,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,NA,,
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/04,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/04,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Moos, Reinwasser",W0115/04,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,51433,,
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/01,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,3,,300
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/01,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.2,,
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/01,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/01,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/01,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,73128,,
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/02,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,1,,300
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/02,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.4,,
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/02,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/02,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/02,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,72600,,
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/03,Temperatur,Allgemeine Parameter,°C,,7.3,,
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/03,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,1,,300
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/03,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.1,,
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/03,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/03,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/03,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,76256,,
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/04,Temperatur,Allgemeine Parameter,°C,,7.3,,
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/04,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,NA,,300
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/04,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.4,,
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/04,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/04,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Seewasserwerk Lengg, Reinwasser",W0215/04,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,69389,,
2023-01-13,"Grundwasserwerk Hardhof, Reinwasser",W0305,Temperatur,Allgemeine Parameter,°C,,14.8,,
2023-01-13,"Grundwasserwerk Hardhof, Reinwasser",W0305,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,NA,,300
2023-01-13,"Grundwasserwerk Hardhof, Reinwasser",W0305,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,NA,,
2023-01-13,"Grundwasserwerk Hardhof, Reinwasser",W0305,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Grundwasserwerk Hardhof, Reinwasser",W0305,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-13,"Grundwasserwerk Hardhof, Reinwasser",W0305,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,12817,,
2023-01-16,"Seewasserwerk Moos, Reinwasser",W0115/03,Temperatur,Allgemeine Parameter,°C,,8.9,,
2023-01-16,"Seewasserwerk Moos, Reinwasser",W0115/03,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,,300
2023-01-16,"Seewasserwerk Moos, Reinwasser",W0115/03,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-16,"Seewasserwerk Moos, Reinwasser",W0115/03,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-16,"Seewasserwerk Moos, Reinwasser",W0115/04,Temperatur,Allgemeine Parameter,°C,,8.9,,
2023-01-16,"Seewasserwerk Moos, Reinwasser",W0115/04,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,1,,300
2023-01-16,"Seewasserwerk Moos, Reinwasser",W0115/04,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-16,"Seewasserwerk Moos, Reinwasser",W0115/04,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-16,"Seewasserwerk Lengg, Reinwasser",W0215/03,Temperatur,Allgemeine Parameter,°C,,7.4,,
2023-01-16,"Seewasserwerk Lengg, Reinwasser",W0215/03,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,,300
2023-01-16,"Seewasserwerk Lengg, Reinwasser",W0215/03,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-16,"Seewasserwerk Lengg, Reinwasser",W0215/03,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-16,"Seewasserwerk Lengg, Reinwasser",W0215/04,Temperatur,Allgemeine Parameter,°C,,7.4,,
2023-01-16,"Seewasserwerk Lengg, Reinwasser",W0215/04,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,4,,300
2023-01-16,"Seewasserwerk Lengg, Reinwasser",W0215/04,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-16,"Seewasserwerk Lengg, Reinwasser",W0215/04,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Ammonium,Allgemeine chemische Parameter,µg/L,3,9,,100
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Bromid,Allgemeine chemische Parameter,µg/L,2,13,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Chlorat,Allgemeine chemische Parameter,mg/L,0.006,0.052,,0.2
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Chlorid,Allgemeine chemische Parameter,mg/L,0.2,10.9,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Chlorit,Allgemeine chemische Parameter,mg/L,0.006,0.027,,0.2
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Fluorid,Allgemeine chemische Parameter,mg/L,0.003,0.078,,1.5
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Kieselsäure als Siliziumdioxid,Allgemeine chemische Parameter,mg/L,0.2,4,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Nitrat,Allgemeine chemische Parameter,mg/L,0.2,3.7,,40
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Nitrit,Allgemeine chemische Parameter,µg/L,1,NA,,100
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Phosphat-Phosphor,Allgemeine chemische Parameter,µg/L,2,5,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Sauerstoff,Allgemeine chemische Parameter,mg/L,0.2,9.63,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Sauerstoffsättigung,Allgemeine chemische Parameter,%,,100,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Sulfat,Allgemeine chemische Parameter,mg/L,0.2,15.6,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Temperatur,Allgemeine Parameter,°C,,14.7,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Benzol,Benzinzusatzstoffe,ng/L,20,NA,,1000
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,ETBE,Benzinzusatzstoffe,ng/L,20,NA,,5000
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Ethylbenzol,Benzinzusatzstoffe,ng/L,20,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,m/p-Xylol,Benzinzusatzstoffe,ng/L,40,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,MTBE,Benzinzusatzstoffe,ng/L,20,NA,,5000
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,o-Xylol,Benzinzusatzstoffe,ng/L,20,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Summe Aliphaten C5-C10,Benzinzusatzstoffe,ng/L,300,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Summe BTEX,Benzinzusatzstoffe,ng/L,120,NA,,3000
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,TAME,Benzinzusatzstoffe,ng/L,20,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Toluol,Benzinzusatzstoffe,ng/L,20,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,"[D-Asp3, E-Dhb7]-MC-RR gebunden",Biologische Parameter,ng/L,20,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,"[D-Asp3, E-Dhb7]-MC-RR gelöst",Biologische Parameter,ng/L,10,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,1,,300
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Chlorophyta,Biologische Parameter,μg/L,1,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Chrysophyta,Biologische Parameter,μg/L,1,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Crypto-/Dinogruppe,Biologische Parameter,μg/L,1,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Cyanobakterien,Biologische Parameter,μg/L,1,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,E. coli,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,,0
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Euglenophyta,Biologische Parameter,μg/L,1,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Microcystin LR gebunden,Biologische Parameter,ng/L,20,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Microcystin LR gelöst,Biologische Parameter,ng/L,10,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Microcystin RR gebunden,Biologische Parameter,ng/L,20,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Microcystin RR gelöst,Biologische Parameter,ng/L,10,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Microcystin YR gebunden,Biologische Parameter,ng/L,20,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Microcystin YR gelöst,Biologische Parameter,ng/L,10,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Phytoplankton,Biologische Parameter,μg/L,1,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Phytoplankton <2µm,Biologische Parameter,Anzahl/mL,1,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Phytoplankton >20µm,Biologische Parameter,Anzahl/mL,1,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Phytoplankton 2-20µm,Biologische Parameter,Anzahl/mL,1,4,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,"1,3-PDTA",Komplexbildner,µg/L,0.5,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,DTPA,Komplexbildner,µg/L,0.7,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,EDTA,Komplexbildner,µg/L,0.2,0.3,,200
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,NTA,Komplexbildner,µg/L,0.5,NA,,200
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,β-ADA,Komplexbildner,µg/L,0.5,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,ASA (Amidosulfonsäure),"Künstliche Süssstoffe, Industriechemikalien und anderes",µg/L,1,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,"1,1,1-Trichlorethan",Leichtflüchtige halogenierte Kohlenwasserstoffe (FHKW),ng/L,20,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,"1,1-Dichlorethylen",Leichtflüchtige halogenierte Kohlenwasserstoffe (FHKW),ng/L,20,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,"1,2-Dichlorethan",Leichtflüchtige halogenierte Kohlenwasserstoffe (FHKW),ng/L,20,NA,,3000
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,"cis-1,2-Dichlorethylen",Leichtflüchtige halogenierte Kohlenwasserstoffe (FHKW),ng/L,20,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Dichlormethan,Leichtflüchtige halogenierte Kohlenwasserstoffe (FHKW),ng/L,20,NA,,20000
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Perchlorethylen,Leichtflüchtige halogenierte Kohlenwasserstoffe (FHKW),ng/L,20,562,,10000
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Summe FHKW (incl. THM),Leichtflüchtige halogenierte Kohlenwasserstoffe (FHKW),ng/L,280,1572,,10000
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Tetrachlorkohlenstoff,Leichtflüchtige halogenierte Kohlenwasserstoffe (FHKW),ng/L,20,NA,,2000
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,"trans-1,2-Dichlorethen",Leichtflüchtige halogenierte Kohlenwasserstoffe (FHKW),ng/L,20,NA,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Trichlorethylen,Leichtflüchtige halogenierte Kohlenwasserstoffe (FHKW),ng/L,20,47,,10000
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Vinylchlorid,Leichtflüchtige halogenierte Kohlenwasserstoffe (FHKW),ng/L,20,NA,,500
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Kalium,Metalle und weitere Elemente,mg/L,0.2,1.5,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Natrium,Metalle und weitere Elemente,mg/L,0.7,7.5,,200
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,aggressive Kohlensäure,"pH, Leitfähigkeit, Härten und Kalk-Kohlensäure Gleichgewicht",mg/L,,-2.6,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Calciumhärte,"pH, Leitfähigkeit, Härten und Kalk-Kohlensäure Gleichgewicht",mmol/L,0.49,1.33,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,freie Kohlensäure,"pH, Leitfähigkeit, Härten und Kalk-Kohlensäure Gleichgewicht",mg/L,,5,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Gesamthärte,"pH, Leitfähigkeit, Härten und Kalk-Kohlensäure Gleichgewicht",mmol/L,0.49,1.69,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Hydrogenkarbonat,"pH, Leitfähigkeit, Härten und Kalk-Kohlensäure Gleichgewicht",mmol/L,,2.99,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Karbonathärte,"pH, Leitfähigkeit, Härten und Kalk-Kohlensäure Gleichgewicht",mmol/L,0.15,1.5,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Kohlensäure im Gleichgewicht,"pH, Leitfähigkeit, Härten und Kalk-Kohlensäure Gleichgewicht",mg/L,,7.6,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Leitfähigkeit bei 20 °C,"pH, Leitfähigkeit, Härten und Kalk-Kohlensäure Gleichgewicht",µS/cm,28,322,,
2023-01-16,"Grundwasserwerk Hardhof, Reinwasser",W0305,Magnesiumhärte,"pH, Leitfähigkeit, Härten und Kalk-Kohlensäure Gleichgewicht",mmol/L,0.09,0.36,,
