Datum,Typ,Zone,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Höchstwert
2023-01-03,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.4,
2023-01-03,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,81372,
2023-01-03,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,Temperatur,Allgemeine Parameter,°C,,7.6,
2023-01-03,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.9,
2023-01-03,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,79944,
2023-01-03,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,Temperatur,Allgemeine Parameter,°C,,8,
2023-01-03,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,10,
2023-01-03,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,100661,
2023-01-03,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,Temperatur,Allgemeine Parameter,°C,,8,
2023-01-03,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,9.4,
2023-01-03,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,99917,
2023-01-03,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,Temperatur,Allgemeine Parameter,°C,,7.4,
2023-01-03,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,5.8,
2023-01-03,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,79722,
2023-01-03,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,Temperatur,Allgemeine Parameter,°C,,7.5,
2023-01-03,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,5.3,
2023-01-03,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,80056,
2023-01-03,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,Temperatur,Allgemeine Parameter,°C,,7.3,
2023-01-03,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.8,
2023-01-03,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,78778,
2023-01-03,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,Temperatur,Allgemeine Parameter,°C,,7.4,
2023-01-03,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,5,
2023-01-03,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,77517,
2023-01-03,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,Temperatur,Allgemeine Parameter,°C,,8.3,
2023-01-03,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,7.9,
2023-01-03,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,88139,
2023-01-03,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,Temperatur,Allgemeine Parameter,°C,,8.1,
2023-01-03,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,12.9,
2023-01-03,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,100700,
2023-01-10,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,Temperatur,Allgemeine Parameter,°C,,8.4,
2023-01-10,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,7.1,
2023-01-10,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,64978,
2023-01-10,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 2",R2222/15,Temperatur,Allgemeine Parameter,°C,,8.3,
2023-01-10,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 2",R2222/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,6.5,
2023-01-10,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 2",R2222/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,58100,
2023-01-10,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 1",R2321/15,Temperatur,Allgemeine Parameter,°C,,8.3,
2023-01-10,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 1",R2321/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.9,
2023-01-10,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 1",R2321/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,38356,
2023-01-10,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 2",R2322/15,Temperatur,Allgemeine Parameter,°C,,8.3,
2023-01-10,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 2",R2322/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.7,
2023-01-10,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 2",R2322/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,35678,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,Temperatur,Allgemeine Parameter,°C,,7.6,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.6,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,22961,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,Temperatur,Allgemeine Parameter,°C,,7.7,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.2,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,22611,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,Temperatur,Allgemeine Parameter,°C,,7.7,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.3,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,17633,
2023-01-10,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 1",R2621/15,Temperatur,Allgemeine Parameter,°C,,8.1,
2023-01-10,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 1",R2621/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,5.7,
2023-01-10,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 1",R2621/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,38372,
2023-01-10,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 2",R2622/15,Temperatur,Allgemeine Parameter,°C,,8.1,
2023-01-10,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 2",R2622/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,6.6,
2023-01-10,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 2",R2622/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,39422,
2023-01-10,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,Temperatur,Allgemeine Parameter,°C,,8.8,
2023-01-10,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.7,
2023-01-10,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,39583,
2023-01-10,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,Temperatur,Allgemeine Parameter,°C,,8.8,
2023-01-10,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.4,
2023-01-10,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,39867,
2023-01-10,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 1",R2921/15,Temperatur,Allgemeine Parameter,°C,,8.3,
2023-01-10,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 1",R2921/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,5.8,
2023-01-10,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 1",R2921/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,51844,
2023-01-10,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 2",R2922/15,Temperatur,Allgemeine Parameter,°C,,8.3,
2023-01-10,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 2",R2922/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,6.6,
2023-01-10,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 2",R2922/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,48339,
2023-01-10,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 1",R3021/15,Temperatur,Allgemeine Parameter,°C,,7.8,
2023-01-10,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 1",R3021/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,6.3,
2023-01-10,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 1",R3021/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,32483,
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,Temperatur,Allgemeine Parameter,°C,,8.1,
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,32.9,
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,57056,
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,Temperatur,Allgemeine Parameter,°C,,7.7,
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.2,
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,20672,
2023-01-17,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,Temperatur,Allgemeine Parameter,°C,,8,
2023-01-17,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,1,300
2023-01-17,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,Temperatur,Allgemeine Parameter,°C,,12.5,
2023-01-17,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,300
2023-01-17,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Temperatur,Allgemeine Parameter,°C,,12.8,
2023-01-17,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,300
2023-01-17,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,Temperatur,Allgemeine Parameter,°C,,13.1,
2023-01-17,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,3,300
2023-01-17,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,Temperatur,Allgemeine Parameter,°C,,12.6,
2023-01-17,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,1,300
2023-01-17,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,Temperatur,Allgemeine Parameter,°C,,13.1,
2023-01-17,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,3,300
2023-01-17,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,Temperatur,Allgemeine Parameter,°C,,12.6,
2023-01-17,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,NA,300
2023-01-17,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,Temperatur,Allgemeine Parameter,°C,,14.2,
2023-01-17,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,3,300
2023-01-17,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,Temperatur,Allgemeine Parameter,°C,,14.2,
2023-01-17,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,300
2023-01-17,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,Temperatur,Allgemeine Parameter,°C,,11.5,
2023-01-17,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,3,300
2023-01-17,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,Temperatur,Allgemeine Parameter,°C,,13.3,
2023-01-17,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,6,300
2023-01-17,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,Temperatur,Allgemeine Parameter,°C,,11.6,
2023-01-17,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,4,300
2023-01-17,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,Temperatur,Allgemeine Parameter,°C,,7.8,
2023-01-17,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,3,300
2023-01-17,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,Temperatur,Allgemeine Parameter,°C,,7.8,
2023-01-17,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,5,300
2023-01-17,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,Temperatur,Allgemeine Parameter,°C,,7.4,
2023-01-17,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,3,300
2023-01-17,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,Temperatur,Allgemeine Parameter,°C,,7.6,
2023-01-17,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,4,300
2023-01-17,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,Temperatur,Allgemeine Parameter,°C,,7.2,
2023-01-17,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,5,300
2023-01-17,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-01-17,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,Temperatur,Allgemeine Parameter,°C,,7.3,
2023-01-17,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,5,300
2023-01-17,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
