Date,Temperature (°C)
2022-09-12,22.1
2022-09-13,22.2
2022-09-14,22.2
2022-09-15,21.9
2022-09-16,21.5
2022-09-17,20.4
2022-09-18,19.9
2022-09-19,19.7
2022-09-20,19.5
2022-09-21,19.2
2022-09-22,18.9
2022-09-23,18.9
2022-09-24,19.0
2022-09-25,18.8
2022-09-26,18.6
2022-09-27,18.1
2022-09-28,17.5
2022-09-29,17.2
2022-09-30,17.1
2022-10-01,16.9
2022-10-02,16.7
2022-10-03,15.7
2022-10-04,16.1
2022-10-05,16.6
2022-10-06,16.8
2022-10-07,16.7
2022-10-08,16.8
2022-10-09,16.2
2022-10-10,16.3
2022-10-11,16.4
2022-10-12,16.1
2022-10-13,16.1
2022-10-14,16.2
2022-10-15,16.3
2022-10-16,16.4
2022-10-17,16.4
2022-10-18,16.6
2022-10-19,16.5
2022-10-20,16.2
2022-10-21,16.2
2022-10-22,16.4
2022-10-23,16.3
2022-10-24,16.2
2022-10-25,16.1
2022-10-26,16.1
2022-10-27,16.2
2022-10-28,16.1
2022-10-29,16.0
2022-10-30,15.9
2022-10-31,15.7
2022-11-01,15.7
2022-11-02,15.5
2022-11-03,15.4
2022-11-04,15.1
2022-11-05,14.9
2022-11-06,14.6
2022-11-07,14.4
2022-11-08,14.3
2022-11-09,14.1
2022-11-10,14.0
2022-11-11,13.9
2022-11-12,13.8
2022-11-13,13.6
2022-11-14,13.5
2022-11-15,13.3
2022-11-16,13.3
2022-11-17,13.2
2022-11-18,12.9
2022-11-19,12.7
2022-11-20,12.5
2022-11-21,12.2
2022-11-22,12.0
2022-11-23,11.8
2022-11-24,11.6
2022-11-25,11.4
2022-11-26,11.4
2022-11-27,11.3
2022-11-28,11.2
2022-11-29,11.1
2022-11-30,11.0
2022-12-01,10.8
2022-12-02,10.5
2022-12-03,10.3
2022-12-04,10.0
2022-12-05,9.9
2022-12-06,9.7
2022-12-07,9.6
2022-12-08,9.4
2022-12-09,9.2
2022-12-10,8.9
2022-12-11,8.4
2022-12-12,8.1
2022-12-13,7.9
2022-12-14,8.0
2022-12-15,7.9
2022-12-16,7.7
2022-12-17,6.9
2022-12-18,6.9
2022-12-19,7.0
2022-12-20,7.2
2022-12-21,7.3
2022-12-22,7.4
2022-12-23,7.6
2022-12-24,7.6
2022-12-25,7.6
2022-12-26,7.6
2022-12-27,7.5
2022-12-28,7.4
2022-12-29,7.4
2022-12-30,7.4
2022-12-31,7.4
