Date,Temperature (°C)
2021-08-19,18.8
2021-08-20,19.9
2021-08-21,20.8
2021-08-22,20.8
2021-08-23,19.9
2021-08-24,18.4
2021-08-25,18.7
2021-08-26,19.7
2021-08-27,18.3
2021-08-28,18.5
2021-08-29,19.3
2021-08-30,19.0
2021-08-31,18.2
2021-09-01,18.4
2021-09-02,18.3
2021-09-03,18.9
2021-09-04,19.4
2021-09-05,19.6
2021-09-06,19.7
2021-09-07,19.9
2021-09-08,19.8
2021-09-09,20.4
2021-09-10,20.6
2021-09-11,20.6
2021-09-12,20.3
2021-09-13,20.1
2021-09-14,20.3
2021-09-15,20.7
2021-09-16,20.7
2021-09-17,19.9
2021-09-18,19.1
2021-09-19,19.1
2021-09-20,19.0
2021-09-21,18.8
2021-09-22,18.2
2021-09-23,18.4
2021-09-24,18.8
2021-09-25,19.0
2021-09-26,19.2
2021-09-27,19.3
2021-09-28,19.0
2021-09-29,18.7
2021-09-30,18.2
2021-10-01,18.1
2021-10-02,18.5
2021-10-03,18.5
2021-10-04,18.0
2021-10-05,17.6
2021-10-06,17.5
2021-10-07,17.2
2021-10-08,16.8
2021-10-09,16.6
2021-10-10,16.3
2021-10-11,16.1
2021-10-12,15.9
2021-10-13,15.8
2021-10-14,15.5
2021-10-15,15.3
2021-10-16,15.3
2021-10-17,15.2
2021-10-18,15.1
2021-10-19,15.1
2021-10-20,15.1
2021-10-21,15.0
2021-10-22,13.9
2021-10-23,13.5
2021-10-24,13.6
2021-10-25,13.6
2021-10-26,13.6
2021-10-27,13.6
2021-10-28,13.5
2021-10-29,13.4
2021-10-30,13.2
2021-10-31,13.2
2021-11-01,13.1
2021-11-02,12.8
2021-11-03,12.6
2021-11-04,12.4
2021-11-05,12.2
2021-11-06,12.1
2021-11-07,11.9
2021-11-08,11.9
2021-11-09,11.7
2021-11-10,11.4
2021-11-11,11.3
2021-11-12,11.3
2021-11-13,11.2
2021-11-14,11.2
2021-11-15,11.1
2021-11-16,10.9
2021-11-17,10.7
2021-11-18,10.5
2021-11-19,10.4
2021-11-20,10.3
2021-11-21,10.2
2021-11-22,10.1
2021-11-23,9.8
2021-11-24,9.7
2021-11-25,9.5
2021-11-26,9.3
2021-11-27,9.0
2021-11-28,8.9
2021-11-29,8.7
2021-11-30,8.5
2021-12-01,8.4
2021-12-02,8.4
2021-12-03,8.2
2021-12-04,8.0
2021-12-05,8.0
2021-12-06,7.9
2021-12-07,7.8
2021-12-08,7.8
2021-12-09,7.7
2021-12-10,7.6
2021-12-11,7.5
2021-12-12,7.4
2021-12-13,7.4
2021-12-14,7.4
2021-12-15,7.3
2021-12-16,7.3
2021-12-17,7.2
2021-12-18,7.2
2021-12-19,7.1
2021-12-20,7.0
2021-12-21,6.9
2021-12-22,6.8
2021-12-23,6.7
2021-12-24,6.7
2021-12-25,6.7
2021-12-26,6.8
2021-12-27,6.9
2021-12-28,6.9
2021-12-29,6.9
2021-12-30,7.0
2021-12-31,7.0
