Date,Temperature (°C)
2023-04-04,6.4
2023-04-05,6.5
2023-04-06,6.6
2023-04-07,6.8
2023-04-08,7.2
2023-04-09,7.5
2023-04-10,7.8
2023-04-11,8.5
2023-04-12,8.6
2023-04-13,8.2
2023-04-14,8.2
2023-04-15,8.9
2023-04-16,9.1
2023-04-17,8.5
2023-04-18,8.1
2023-04-19,7.9
2023-04-20,7.6
2023-04-21,7.7
2023-04-22,8.4
2023-04-23,9.2
2023-04-24,10.0
2023-04-25,8.3
2023-04-26,9.0
2023-04-27,9.6
2023-04-28,11.0
2023-04-29,11.6
2023-04-30,10.1
2023-05-01,10.1
2023-05-02,11.2
2023-05-03,10.7
2023-05-04,11.2
2023-05-05,12.9
2023-05-06,13.6
2023-05-07,15.3
2023-05-08,14.4
2023-05-09,14.0
2023-05-10,13.0
2023-05-11,14.3
2023-05-12,12.5
2023-05-13,11.6
2023-05-14,10.0
2023-05-15,12.6
2023-05-16,12.4
2023-05-17,10.7
2023-05-18,12.0
2023-05-19,11.6
2023-05-20,12.2
2023-05-21,12.7
2023-05-22,13.5
2023-05-23,14.0
2023-05-24,12.5
2023-05-25,11.9
2023-05-26,12.8
2023-05-27,13.2
2023-05-28,13.5
2023-05-29,13.7
2023-05-30,14.2
2023-05-31,14.8
2023-06-01,16.1
2023-06-02,17.1
2023-06-03,16.0
2023-06-04,17.4
2023-06-05,17.8
2023-06-06,18.8
2023-06-07,18.9
2023-06-08,19.7
2023-06-09,20.7
2023-06-10,20.3
2023-06-11,19.7
2023-06-12,19.4
2023-06-13,18.8
2023-06-14,19.2
2023-06-15,20.0
2023-06-16,21.2
2023-06-17,21.6
2023-06-18,22.4
2023-06-19,22.9
2023-06-20,23.2
2023-06-21,22.9
2023-06-22,22.4
2023-06-23,22.2
2023-06-24,20.3
2023-06-25,22.0
2023-06-26,23.2
2023-06-27,21.0
2023-06-28,21.7
2023-06-29,22.6
2023-06-30,22.7
2023-07-01,22.5
2023-07-02,22.2
2023-07-03,22.1
2023-07-04,22.0
2023-07-05,22.2
2023-07-06,22.4
2023-07-07,23.0
2023-07-08,23.4
2023-07-09,24.0
2023-07-10,24.5
2023-07-11,25.0
2023-07-12,25.2
2023-07-13,24.6
2023-07-14,24.5
2023-07-15,25.1
2023-07-16,24.0
2023-07-17,23.6
2023-07-18,23.8
2023-07-19,24.1
2023-07-20,23.5
2023-07-21,23.6
2023-07-22,24.0
2023-07-23,24.1
2023-07-24,24.0
2023-07-25,23.5
2023-07-26,21.9
2023-07-27,22.5
2023-07-28,22.5
2023-07-29,22.4
2023-07-30,22.1
2023-07-31,21.9
2023-08-01,21.9
2023-08-02,21.9
2023-08-03,20.3
2023-08-04,20.0
2023-08-05,20.6
2023-08-06,20.0
2023-08-07,19.2
2023-08-08,19.8
2023-08-09,19.9
2023-08-10,20.0
2023-08-11,20.7
2023-08-12,21.1
2023-08-13,21.7
2023-08-14,22.9
2023-08-15,23.6
2023-08-16,23.6
2023-08-17,24.3
2023-08-18,24.5
2023-08-19,24.4
2023-08-20,24.4
2023-08-21,24.7
2023-08-22,25.3
2023-08-23,25.4
2023-08-24,24.8
2023-08-25,25.1
2023-08-26,24.3
2023-08-27,23.8
2023-08-28,21.4
2023-08-29,20.4
2023-08-30,20.9
2023-08-31,20.5
2023-09-01,20.9
2023-09-02,21.1
2023-09-03,21.3
2023-09-04,20.3
2023-09-05,20.3
2023-09-06,20.4
2023-09-07,21.2
2023-09-08,22.0
2023-09-09,22.5
2023-09-10,22.8
2023-09-11,23.2
2023-09-12,23.7
2023-09-13,23.9
2023-09-14,23.0
2023-09-15,21.9
2023-09-16,21.8
2023-09-17,22.5
2023-09-18,22.4
2023-09-19,22.5
2023-09-20,22.5
2023-09-21,22.4
2023-09-22,21.8
2023-09-23,21.4
2023-09-24,20.9
2023-09-25,20.6
2023-09-26,20.6
2023-09-27,20.2
2023-09-28,20.2
2023-09-29,20.5
2023-09-30,20.3
2023-10-01,19.9
2023-10-02,20.3
2023-10-03,20.4
2023-10-04,19.7
2023-10-05,19.3
2023-10-06,19.3
2023-10-07,19.3
2023-10-08,19.5
2023-10-09,19.6
2023-10-10,19.6
2023-10-11,19.7
2023-10-12,19.6
2023-10-13,19.5
2023-10-14,19.3
2023-10-15,18.6
2023-10-16,18.1
2023-10-17,17.6
2023-10-18,17.2
2023-10-19,17.1
2023-10-20,16.9
2023-10-21,16.7
2023-10-22,16.6
2023-10-23,16.4
2023-10-24,16.2
2023-10-25,16.1
2023-10-26,16.0
2023-10-27,15.8
2023-10-28,15.5
2023-10-29,15.4
2023-10-30,15.2
2023-10-31,15.0
2023-11-01,14.8
2023-11-02,14.5
2023-11-03,14.3
2023-11-04,14.0
2023-11-05,13.7
2023-11-06,13.4
2023-11-07,13.1
2023-11-08,12.9
2023-11-09,12.7
2023-11-10,12.5
2023-11-11,12.3
2023-11-12,11.9
2023-11-13,11.9
2023-11-14,11.9
2023-11-15,11.6
2023-11-16,11.3
2023-11-17,10.5
2023-11-18,10.1
2023-11-19,10.8
2023-11-20,10.6
2023-11-21,10.5
2023-11-22,10.2
2023-11-23,10.0
2023-11-24,10.0
2023-11-25,9.4
2023-11-26,9.1
2023-11-27,9.2
2023-11-28,9.1
2023-11-29,8.9
2023-11-30,8.8
2023-12-01,8.7
2023-12-02,8.5
2023-12-03,8.4
2023-12-04,8.2
2023-12-05,8.2
2023-12-06,8.1
2023-12-07,8.0
2023-12-08,8.0
2023-12-09,8.0
2023-12-10,8.0
2023-12-11,8.0
2023-12-12,8.0
2023-12-13,8.0
2023-12-14,8.0
2023-12-15,7.9
2023-12-16,7.9
2023-12-17,7.8
2023-12-18,7.7
2023-12-19,7.7
2023-12-20,7.6
2023-12-21,7.5
2023-12-22,7.5
2023-12-23,7.4
2023-12-24,7.2
2023-12-25,7.2
2023-12-26,7.1
2023-12-27,7.1
2023-12-28,7.1
2023-12-29,7.1
2023-12-30,7.1
2023-12-31,7.0
